"MONATSZAHL","AUSPRAEGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERAEND_VORMONAT_PROZENT","VERAEND_VORJAHRESMONAT_PROZENT","ZWOELF_MONATE_MITTELWERT"
"Alkoholunfälle","insgesamt",2023,"202301",,,,,
"Alkoholunfälle","insgesamt",2023,"202302",,,,,
"Alkoholunfälle","insgesamt",2023,"202303",,,,,
"Alkoholunfälle","insgesamt",2023,"202304",,,,,
"Alkoholunfälle","insgesamt",2023,"202305",,,,,
"Alkoholunfälle","insgesamt",2023,"202306",,,,,
"Alkoholunfälle","insgesamt",2023,"202307",,,,,
"Alkoholunfälle","insgesamt",2023,"202308",,,,,
"Alkoholunfälle","insgesamt",2023,"202309",,,,,
"Alkoholunfälle","insgesamt",2023,"202310",,,,,
"Alkoholunfälle","insgesamt",2023,"202311",,,,,
"Alkoholunfälle","insgesamt",2023,"202312",,,,,
"Alkoholunfälle","insgesamt",2022,"202201",,16,,,
"Alkoholunfälle","insgesamt",2022,"202202",,14,,,
"Alkoholunfälle","insgesamt",2022,"202203",,24,,,
"Alkoholunfälle","insgesamt",2022,"202204",,16,,,
"Alkoholunfälle","insgesamt",2022,"202205",,24,,,
"Alkoholunfälle","insgesamt",2022,"202206",,48,,,
"Alkoholunfälle","insgesamt",2022,"202207",,44,,,
"Alkoholunfälle","insgesamt",2022,"202208",,46,,,
"Alkoholunfälle","insgesamt",2022,"202209",,54,,,
"Alkoholunfälle","insgesamt",2022,"202210",,43,,,
"Alkoholunfälle","insgesamt",2022,"202211",,33,,,
"Alkoholunfälle","insgesamt",2022,"202212",,21,,,
"Alkoholunfälle","insgesamt",2021,"202101",16,28,23.08,-42.86,35
"Alkoholunfälle","insgesamt",2021,"202102",14,40,-12.5,-65,33
"Alkoholunfälle","insgesamt",2021,"202103",24,27,71.43,-11.11,32
"Alkoholunfälle","insgesamt",2021,"202104",16,26,-33.33,-38.46,32
"Alkoholunfälle","insgesamt",2021,"202105",24,40,50,-40,30
"Alkoholunfälle","insgesamt",2021,"202106",48,49,100,-2.04,30
"Alkoholunfälle","insgesamt",2021,"202107",44,58,-8.33,-24.14,29
"Alkoholunfälle","insgesamt",2021,"202108",46,46,4.55,0,29
"Alkoholunfälle","insgesamt",2021,"202109",54,46,17.39,17.39,30
"Alkoholunfälle","insgesamt",2021,"202110",43,34,-20.37,26.47,30
"Alkoholunfälle","insgesamt",2021,"202111",33,23,-23.26,43.48,31
"Alkoholunfälle","insgesamt",2021,"202112",21,13,-36.36,61.54,32
"Alkoholunfälle","insgesamt",2020,"202001",28,22,-20,27.27,37
"Alkoholunfälle","insgesamt",2020,"202002",40,28,42.86,42.86,38
"Alkoholunfälle","insgesamt",2020,"202003",27,34,-32.5,-20.59,37
"Alkoholunfälle","insgesamt",2020,"202004",26,36,-3.7,-27.78,36
"Alkoholunfälle","insgesamt",2020,"202005",40,39,53.85,2.56,36
"Alkoholunfälle","insgesamt",2020,"202006",49,40,22.5,22.5,37
"Alkoholunfälle","insgesamt",2020,"202007",58,48,18.37,20.83,38
"Alkoholunfälle","insgesamt",2020,"202008",46,31,-20.69,48.39,39
"Alkoholunfälle","insgesamt",2020,"202009",46,47,0,-2.13,39
"Alkoholunfälle","insgesamt",2020,"202010",34,45,-26.09,-24.44,38
"Alkoholunfälle","insgesamt",2020,"202011",23,29,-32.35,-20.69,38
"Alkoholunfälle","insgesamt",2020,"202012",13,35,-43.48,-62.86,36
"Alkoholunfälle","insgesamt",2019,"201901",22,22,4.76,0,33
"Alkoholunfälle","insgesamt",2019,"201902",28,24,27.27,16.67,34
"Alkoholunfälle","insgesamt",2019,"201903",34,32,21.43,6.25,34
"Alkoholunfälle","insgesamt",2019,"201904",36,25,5.88,44,35
"Alkoholunfälle","insgesamt",2019,"201905",39,34,8.33,14.71,35
"Alkoholunfälle","insgesamt",2019,"201906",40,39,2.56,2.56,35
"Alkoholunfälle","insgesamt",2019,"201907",48,51,20,-5.88,35
"Alkoholunfälle","insgesamt",2019,"201908",31,40,-35.42,-22.5,34
"Alkoholunfälle","insgesamt",2019,"201909",47,36,51.61,30.56,35
"Alkoholunfälle","insgesamt",2019,"201910",45,43,-4.26,4.65,35
"Alkoholunfälle","insgesamt",2019,"201911",29,31,-35.56,-6.45,35
"Alkoholunfälle","insgesamt",2019,"201912",35,21,20.69,66.67,36
"Alkoholunfälle","insgesamt",2018,"201801",22,19,-47.62,15.79,34
"Alkoholunfälle","insgesamt",2018,"201802",24,22,9.09,9.09,35
"Alkoholunfälle","insgesamt",2018,"201803",32,36,33.33,-11.11,34
"Alkoholunfälle","insgesamt",2018,"201804",25,26,-21.88,-3.85,34
"Alkoholunfälle","insgesamt",2018,"201805",34,29,36,17.24,35
"Alkoholunfälle","insgesamt",2018,"201806",39,41,14.71,-4.88,34
"Alkoholunfälle","insgesamt",2018,"201807",51,52,30.77,-1.92,34
"Alkoholunfälle","insgesamt",2018,"201808",40,30,-21.57,33.33,35
"Alkoholunfälle","insgesamt",2018,"201809",36,47,-10,-23.4,34
"Alkoholunfälle","insgesamt",2018,"201810",43,32,19.44,34.38,35
"Alkoholunfälle","insgesamt",2018,"201811",31,33,-27.91,-6.06,35
"Alkoholunfälle","insgesamt",2018,"201812",21,42,-32.26,-50,33
"Alkoholunfälle","insgesamt",2017,"201701",19,21,-5,-9.52,25
"Alkoholunfälle","insgesamt",2017,"201702",22,10,15.79,120,26
"Alkoholunfälle","insgesamt",2017,"201703",36,20,63.64,80,27
"Alkoholunfälle","insgesamt",2017,"201704",26,27,-27.78,-3.7,27
"Alkoholunfälle","insgesamt",2017,"201705",29,25,11.54,16,28
"Alkoholunfälle","insgesamt",2017,"201706",41,30,41.38,36.67,28
"Alkoholunfälle","insgesamt",2017,"201707",52,35,26.83,48.57,30
"Alkoholunfälle","insgesamt",2017,"201708",30,34,-42.31,-11.76,30
"Alkoholunfälle","insgesamt",2017,"201709",47,29,56.67,62.07,31
"Alkoholunfälle","insgesamt",2017,"201710",32,30,-31.91,6.67,31
"Alkoholunfälle","insgesamt",2017,"201711",33,20,3.13,65,32
"Alkoholunfälle","insgesamt",2017,"201712",42,20,27.27,110,34
"Alkoholunfälle","insgesamt",2016,"201601",21,22,-22.22,-4.55,34
"Alkoholunfälle","insgesamt",2016,"201602",10,23,-52.38,-56.52,33
"Alkoholunfälle","insgesamt",2016,"201603",20,23,100,-13.04,33
"Alkoholunfälle","insgesamt",2016,"201604",27,29,35,-6.9,33
"Alkoholunfälle","insgesamt",2016,"201605",25,50,-7.41,-50,31
"Alkoholunfälle","insgesamt",2016,"201606",30,39,20,-23.08,30
"Alkoholunfälle","insgesamt",2016,"201607",35,49,16.67,-28.57,29
"Alkoholunfälle","insgesamt",2016,"201608",34,49,-2.86,-30.61,27
"Alkoholunfälle","insgesamt",2016,"201609",29,45,-14.71,-35.56,26
"Alkoholunfälle","insgesamt",2016,"201610",30,25,3.45,20,27
